hn,52041.834570987136
colistin-resistant,48748.141003106764
bioterrorism,44587.40338217051
samplesthat,43763.233977748525
diisocyanate,41256.20768600539
legionnaires,49045.3904203873
sakazakii,43730.10627378149
ricinthat,53673.09850233993
postmarked,41775.16736094699
outbreak,45867.99290169403
creutzfeldt-jakob,48610.29591689596
listeria,65935.67198029418
cdc,45310.847303620285
mersthe,44193.3612046683
injectionsthe,57563.15266037232
samples,83759.39099206573
listeria-caused,42196.28710057828
spores,65999.21934249252
toxins,44842.67972572289
contaminated,50173.86342021197
virusthey,41904.71046471631
legionella,57697.54167180162
naled,45855.45495953242
amukele,40856.560482451336
directorsaid,110063.9054156012
high-lead,45390.55977188521
contaminationin,49030.941427256184
testingthe,44911.27010509876
detectedthe,40734.315792779045
viruss,40884.79594622845
acetate,40645.701692880044
salmonella,53664.61143340166
cronobacter,40590.96589680226
superbug,43000.9469409805
dph,89878.10820850972
releaseno,45195.94988120571
harmfulthese,41519.96231821096
foodborne,52607.484810953545
threatsafter,47904.34912728619
specimens,70796.68730990517
melioidosis,42742.40909176031
trublood,41434.1152595255
teststhere,42801.12192042138
unreliablethe,42985.44934314393
exserohilum,47612.40343602268
retested,46177.72736819519
duodenoscope,44277.27137863644
dugway,112640.8068621684
deadlythe,58820.06230694582
situationthose,77770.02926509464
larvicide,59516.49271702492
cjdthe,41609.310982344185
cdcbut,40642.44361740536
completehealth,65469.85121891453
sterility,43105.54084490621
bacteria,41841.2783382041
fsis,53579.87419758494
cdcthe,61146.62440005211
fentanyl,45063.253894436435
prion,43923.97035217607
fatalthe,52051.349381802975
krokodil,43763.54778437263
usedthe,53714.19411459701
viruses,49522.674291070965
shipment,41742.968371229654
vials,77079.57146564503
inspectionthe,45866.760876054854
anthraxthe,172912.28894323332
mail-screening,52105.98833684811
bresee,40482.01556854312
cross-contaminationthe,46221.91922961113
infectionsthe,50641.25560907119
outbreaks,40687.862506308724
nasci,42967.02911400428
wasother,62253.9772879037
sayshealth,51819.025603539274
elizabethkingia,44021.0288410154
disinfection,52054.42721841081
inactivated,71412.52121854445
coli,43525.712083505816
simplex,46491.666585835555
inactivate,69272.81136272216
exposurethe,53284.78758560629
high-containment,58116.99471434038
tss,45600.58899443276
crf,48918.5443853782
heater-cooler,43911.490056351664
methyl,45083.39902224484
scope-related,42942.15152603557
variola,71394.90382728346
symptomsa,45221.52409804224
carbidegao,41244.506639807965
antitoxin,40591.37328631636
pesticide,56690.58977469002
poisoningthe,43131.87437859851
shipments,42766.23194894031
contamination,82339.53614276293
ddt,40936.83784549598
detected,78671.53868038236
salmonellathe,48296.83004583567
